PID      Name                 max_procs                      mounts                         fd_count       
71       kworker/R-kthrotld   44487                          63                             0              
72       kworker/R-acpi_thermal_pm 44487                          63                             0              
7361     fwupd                44487                          85                             0              
75       kworker/R-mld        44487                          63                             0              
75847    kworker/u16:0        44487                          63                             0              
76       kworker/R-ipv6_addrconf 44487                          63                             0              
76068    proc_monitor.sh      44487                          63                             9              
8        kworker/R-netns      44487                          63                             0              
8016     gvfsd-http           44487                          63                             7              
83       kworker/R-kstrp      44487                          63                             0              
86       kworker/u17:0-hci0   44487                          63                             0              
8720     gvfsd-recent         44487                          63                             8              
8729     gvfsd-network        44487                          63                             10             
8738     gvfsd-dnssd          44487                          63                             9              
8744     gvfsd-wsdd           44487                          63                             12             
8749     python3              44487                          63                             18             
9126     firefox              44487                          480                            258            
918      kworker/R-ttm        44487                          63                             0              
9186     crashhelper          44487                          480                            33             
923      card1-crtc0          44487                          63                             0              
924      card1-crtc1          44487                          63                             0              
925      card1-crtc2          44487                          63                             0              
926      kworker/R-cryptd     44487                          63                             0              
9269     forkserver           44487                          480                            10             
9274     Socket Process       44487                          0                              28             
9286     Privileged Cont      44487                          0                              44             
9296     RDD Process          44487                          0                              38             
9619     WebExtensions        44487                          0                              48             
9796     Utility Process      44487                          0                              27             
9804     Isolated Web Co      44487                          0                              45             
9809     Isolated Web Co      44487                          0                              44             
99       kworker/R-charger_manager 44487                          63                             0              
9985     Isolated Web Co      44487                          0                              55             
